Title: Emilia Galotti
Number of all lemmas: 6863
Nummber of different lemmas: 2154

Lemma	POS	Frequency	Tokens
werfen	VVFIN	5	wirft, werfe
vollends	ADV	5	vollends, Vollends
fallen	VVFIN, VVINF	5	fiel, fiele, fallen, falle
wagen	VVFIN, VVINF, VVIMP, VVPP	5	wagst, wagen, wag, gewagt
Unrecht	NN	5	Unrecht
reden	VVFIN	5	reden, Reden
arm	ADJA	5	arme, armen, Armes
Rose	NN	5	Rose
Bittschrift	NN	5	Bittschriften, Bittschrift
gehören|hören	VVPP	5	gehört
Kammerdiener	NN	5	Kammerdiener
Unglückliche	NN	5	Unglücklicher, Unglücklichen, Unglückliche
hinter	APPR	5	hinter, Hinter
Feind	NN	5	Feind, Feindes
Weib	NN	5	Weibe, Weiber, Weib
Verwahrung	NN	5	Verwahrung
Sinn	NN	5	Sinne, Sinn
fahren|führen	VVFIN	5	führe
dahin	PAV	5	dahin, Dahin
beten	VVFIN, VVINF	5	bete, beten
Pirro	NE	5	Pirro
Stelle	NN	5	Stelle
Wahrheit	NN	5	Wahrheit
legen	VVFIN, VVINF	5	Legt, legte, legt, legen
wünschen	VVFIN, VVPP, VVINF	5	wünschte, gewünscht, wünschen
weder	KON	5	weder
erkennen	VVFIN	5	erkenne, Erkennen, erkannte
Nähe	NN	5	Nähe
wär	VVFIN, ADJD	5	wär
erblicken	VVFIN, VVINF, VVPP	5	erblicke, erblicken, erblickte, erblickt, Erblickt
niemand	PIS	4	niemanden, Niemand, niemand
Hülfe	NN	4	Hülfe
Sinn|Sinnen	NN	4	Sinnen
konnt	VVFIN	4	konnt
laufen	VVFIN, VVIMP	4	lief, lauf
nahe	PTKVZ	4	nahe
Gleichgültigkeit	NN	4	Gleichgültigkeit
Mitleid	NN	4	Mitleid, Mitleids
schlecht	ADJD, ADJA	4	schlechter, schlechten, schlecht
leid	ADJD	4	leid
blicken	VVFIN	4	blickest, blickte, Blickt
erhalten	VVINF	4	erhalten
Kirche	NN	4	Kirche
schließen	VVINF, VVFIN	4	schließen, schloß
hierher	PAV, PTKVZ	4	hierher
hereintritt	VVFIN	4	hereintritt
kosten	VVINF, VVPP, VVFIN	4	kosten, gekostet, kostet
arbeiten	VVINF	4	arbeiten, Arbeiten
woran	PWAV	4	woran, Woran
Ende	NN	4	Ende
Pferd	NN	4	Pferde, Pferd
sogar	ADV	4	sogar, Sogar
fliehen	VVFIN, VVINF	4	floh, fliehen
Perle|Perlen	NN	4	Perlen
Gesicht	NN	4	Gesicht, Gesichte
hoffen	VVINF, VVFIN	4	hoffen, hoffe
vorbei	PTKVZ, ADV	4	vorbei
Beutel	NN	4	Beutel
ewig	ADJD	4	ewig
vertrauen	VVINF, VVFIN	4	vertrauen, vertraute
traurig	ADJA	4	traurigen, traurige
sonderbar	ADJD, ADJA	4	sonderbar, sonderbare, sonderbarer
Geduld	NN	4	Geduld
lernen	VVINF, VVFIN	4	lernen
vorzüglich	ADJA	4	vorzüglichsten, vorzüglichen
Gebiet	NN	4	Gebiete
besonder	ADJA	4	besondere, Besondere
redlich	ADJD	4	redlich, Redlich, redlicher
verwunden	VVINF, VVPP	4	verwunden, verwundet
zittern	VVFIN	4	zitterst, zitterte
Befehl	NN	4	Befehls, Befehl
Grimaldi	NE	4	Grimaldi
Nebenbuhler	NN	4	Nebenbuhler
Engel	NN, NE	4	Engel
nötig	ADJD	4	nötigsten, nötig
Todesurteil	NN	4	Todesurteil
erfahren	VVFIN, VVPP	4	erführe, erfahren, erfuhr
Traum	NN	4	Traum, Traume
wohin	PWAV	4	wohin, Wohin
Kleinigkeit	NN	4	Kleinigkeit
Liebhaber	NN	4	Liebhaber
Odoardo	NE	4	Odoardo
Verzeihung	NN	4	Verzeihung
Türe	NN	4	Türe
ausmachen	VVFIN, VVIZU, VVPP	4	ausmache, auszumachen, ausgemacht
erheben	VVINF, VVFIN	4	erheben, erhebt, erhob
Teufel	NN	4	Teufel
weißen	VVFIN	4	Weißt, weißt
Schuldigkeit	NN	4	Schuldigkeit
Unglück	NN	4	Unglück, Unglücke
Rat	NN	4	Räten, Rat
nimmermehr	ADV	4	Nimmermehr
zufrieden	ADJD	4	zufrieden
wofür	PWAV	4	wofür
fehlen	VVFIN, VVINF	4	fehlt, fehlen
bedenken	VVFIN, VVINF	4	bedenkst, bedenken
sprengen	VVFIN, VVPP	4	sprengte, gesprengt
schießen	VVPP, VVFIN	4	geschossen, Geschossen, schoß
seh	FM, XY, NE	4	seh
unterschreiben	VVFIN, VVINF	4	unterschreibt, unterschreiben
schwören	VVINF, VVFIN	4	schwören, Schwören
Natur	NN	4	Natur
Zimmer	NN	4	Zimmer, Zimmern
andermal	ADV	4	andermal
vernehmen	VVPP, VVINF	4	vernommen, vernehmen
Räuber	NN	4	Räuber, Räubers
bedürfen	VVFIN, VVINF	4	bedarf, bedürfen
voll	ADJD, ADJA	4	voll, voller, vollem
gleichgültig	ADJD	4	gleichgültig, Gleichgültig
Gefahr	NN	4	Gefahr
Teil	NN	4	Teil, Teile
Vorzimmer	NN	4	Vorzimmer
Rede	NN	4	Rede
jemand	PIS	4	jemand
Gesetz	NN	4	Gesetz, Gesetze
Träne|Tränen	NN	4	Tränen
Anteil	NN	4	Anteil
Überlegung	NN	4	Überlegung
selten	ADJD	4	selten
Entfernung	NN	4	Entfernung
oft	ADV	4	oft
Gerechtigkeit	NN	4	Gerechtigkeit
beschäftiget	VVFIN	4	beschäftiget
geheim	ADJD, ADJA	4	geheim, geheimsten
seit	APPR	4	seit
ausfahren	VVINF, VVIZU, VVPP	3	ausfahren, auszufahren, ausgefahren
Platz	NN	3	Platz
Richter	NN, NE	3	Richter
freundschaftlich	ADJD, ADJA	3	freundschaftlich, freundschaftlichsten
warm	ADJD, ADJA	3	warm, warmes
plötzlich	ADJD, ADJA	3	plötzlich, plötzlichen
Ziel	NN	3	Ziele, Ziel
augenblicklich	ADJD, ADJA	3	augenblicklich, augenblicklichen
verleiten	VVFIN, VVPP	3	verleiten, verleitet
frei	ADJA, ADJD	3	freie, frei
Rede|Reden	NN	3	Reden
Halle	NN	3	Halle
raten	VVINF, VVFIN	3	raten, Raten
bitter	ADJD, ADJA	3	Bitter, bittern
Närrin	NN	3	Närrin
albern	ADJA, ADJD	3	albernes, albern, albernen
verraten	VVFIN, VVPP	3	verriet, verraten
Gang	NN	3	Gang, Ganges
Vergnügen	NN	3	Vergnügen
durchaus	ADV	3	durchaus
Eindruck	NN	3	Eindrücken, Eindruck, Eindrücke
Vermählung	NN	3	Vermählung
Verbindung	NN	3	Verbindung
sinken	VVINF, VVFIN	3	sinken
rufen	VVFIN, VVINF	3	rufen
Grund	NN	3	Grund, Grunde
verdammt	ADJA	3	verdammtes, Verdammter, verdammte
wenig	ADV	3	wenig
Zweifel	NN	3	Zweifel
Genugtuung	NN	3	Genugtuung
manche	PIAT, PIS	3	manchem, mancher
Entführung	NN	3	Entführung
kalt	ADJD	3	kalt, Kalt, kälter
weise	ADJD, ADJA	3	weise, weisen
Arm	NN	3	Arm
Geschmeide	NN	3	Geschmeide
widerfahren	VVINF, VVPP	3	widerfahren
feierlich	ADJD, ADJA	3	feierlich, feierlichen
beneiden	VVFIN, VVINF	3	beneidet, beneiden
Argwohn	NN	3	Argwohn
Hochzeit	NN	3	Hochzeiten, Hochzeit
verdienen	VVINF, VVFIN	3	verdienen, verdiene, verdiente
Unschuld	NN	3	Unschuld
Fenster	NN	3	Fenster
Schwachheit	NN	3	Schwachheit
erholen	VVFIN, VVPP, VVINF	3	Erholen, erholt, erholen
geträumet	VVFIN, VVPP	3	geträumet
trennen	VVFIN, VVINF	3	trenne, trennen
herzlich	ADJD	3	herzlich, Herzlich
streng	ADJA	3	strengen, strengste, strengsten
