Title: Der junge Gelehrte
Number of all lemmas: 10506
Nummber of different lemmas: 3557

Lemma	POS	Frequency	Tokens
schuldig	JJ	6	schuldig
Dankbarkeit	NN	6	Dankbarkeit
bezahlen	VB, VBN	6	bezahlen, bezahlt
drei	CD	6	drei
verspreche	NN	6	verspreche
ward	NNP	6	ward
Wille	NN	6	Wille
laufen	VB	6	gelaufen, laufen, läuft
de	NN, FW	6	de
Ausstattung	NN	6	Ausstattung
wert	RP, JJ, RB	6	wert
kennst	NN	6	kennst
vernünftig	JJ	6	vernünftig
dächte	NN	6	dächte
beinahe	RB	6	beinahe
Wahrhaftig	JJ	6	Wahrhaftig
Leuten	NN	6	Leuten
kurz	JJ	6	kurz, kurzer
ewig	JJ	6	ewig, ewige
wunderbar	JJ	6	wunderbare, wunderbaren, wunderbar
fassen	VBN, VB, RP	6	gefaßt, fassen
ansehen	VB, VBN	6	ansehen, ansieht, angesehen
Büchern	NN	6	Büchern
übel	JJ	6	übel
Teils	NN	6	Teils
Idiote	NN	6	Idiote
treffen	VB, RP	6	trifft, treffen, getroffen
Schlingel	NN	6	Schlingel
närrisch	JJ	6	närrische, närrischen, närrisch
st	PRP$	6	st
verzweifelte	NN	6	verzweifelte
lässen	VB	6	läßt
fallen	VB	6	fiel, fallen
vollkomm	JJ	6	vollkommen
darüber	RB	6	darüber
überall	RB, RP	6	überall
Ursache	NN	6	Ursache
manchmal	RB	6	manchmal
auchen	VB, RB, VBN	6	auch
klug	JJ	6	klug
recht	NN, JJ	6	recht
Lass	NN	6	Laß
daraus	RB	6	daraus
weder	RB, CC	6	weder
Ah	NN	6	Ah
Schon	RB, IN	6	Schon
leben	VB	6	lebe, leben
kannst	VB, JJ, RB	6	kannst
Narre	NN	6	Narre
danken	VB	6	gedankt, danken
Belohnung	NN	6	Belohnung
Abschied	NN	6	Abschied
Paar	NN	6	Paar
umsonst	RB, RP	6	umsonst
Hause	NN	6	Hause
Betrug	NN	6	Betrug
hättest	RP, RB	6	hättest
best	NN, JJ	6	besten, beste
Geist	NN	6	Geist
