Title: EntireCorpus-Lemmas
Number of all lemmas: 77614
Nummber of different lemmas: 14418

Lemma	POS	Frequency	Tokens
brauchen	VB, RB, VBN	57	brauchen, braucht
deiner	PRP$	57	deiner
zwei	CD	57	zwei
Soen	RB, VBN, VB	57	So
Damis	NN, NNP, RP, JJ	57	Damis
Kann	NNP, NN	56	Kann
hoffen	VB, VBN	56	hoffe, hoffen, hoffte, hofft
Nu	NN	55	Nu
Tage	NN, JJ	55	Tage
weiss	VB, RB, JJ	55	weiß
Jungfer	NN, NNP, JJ	55	Jungfer
verlassen	VB, PRP$	55	verlassen
Vergnügen	NN, JJ	54	Vergnügen
Tugend	NN, JJ	54	Tugend
unser	PRP$	54	unser
heiraten	VB, PRP$, VBN, RP	54	heiraten, geheiratet
Taler	NN	53	Taler
Vielleicht	RB, RP, IN	53	Vielleicht
erfahren	VBN, RP, VB	53	erfahren, erfuhr
merken	VB, VBN	53	merke, gemerkt, merken, merkt, merkst, merkte
verlangen	VB, VBN, RP, PRP$	53	verlangen, verlangt, verlangte
Kerl	NN, NNP, NNS	52	Kerl, Kerle
Christ	NNS, NN	52	Christen, Christ
Vermögen	NN	52	Vermögen
bös	JJ, NN, VB	52	böse, bösen, böser
deswegen	RB, VB, RP, IN	51	deswegen
fehlen	VB, RP, VBN	51	fehlt, fehlte, gefehlt, fehlen, fehlet, fehle
jen	DT, WDT, NN, VB, JJ	51	jener, jenen, jene, jenem, jen, je
weg	RB, RP, IN, JJ, VB	51	weg
ins	IN, RB	51	ins
übel	JJ	51	übel, üble
Graf	NN, NNP	51	Graf
Nachricht	NN, NNS, JJ	51	Nachricht, Nachrichten
sterben	VB, VBN, PRP$, RP	50	sterbe, sterben, starb, gestorben, stirbt
fangen	VB, VBN, PRP$, RP, NN	50	fängt, fange, fangen, gefangen, fingen, fängst, fing, fingt
weisst	NN	50	weißt
ihrem	PRP$	50	ihrem
tausend	CD	50	tausend
Gewiss	UH, DT, JJ	50	Gewiß, Gewisse
seines	PRP$	50	seines
geschwind	RP, RB, IN, WRB, FW	49	geschwind
Teufel	NN	49	Teufel
Wohl	RP, RB, IN, WRB	49	Wohl
Kopf	NN, NNS, NNP	49	Kopf, Köpfe
Patriarch	JJ, NN, VB	49	Patriarchen, Patriarch
heraus	RB, RP, JJ, IN	49	heraus
gefallen	VB, RP, VBN	49	gefallen
ewig	JJ	49	ewig, ewige, ewigen, ewiger, ewiges
Heirat	NNS, NN	49	Heiraten, Heirat
Stadt	NN, JJ, NNP	48	Stadt
deinem	NN, JJ	48	deinem
nuren	RB, RP, VB, VBN	48	nur
schicken	VB, VBN, RP	48	geschickt, schicken, schickt
unmöglich	JJ	47	unmöglich
Just	NNP, NN, RB	47	Just
wert	RP, RB, JJ, IN	47	wert
Händen	NN, JJ	47	Händen
verlor	JJ, NN	47	verloren, verlor
seid	NN	47	seid
Gnade	NN, NNS	47	Gnade, Gnaden
Mühe	NN	46	Mühe
Hat	NN, JJ	46	Hat
lachen	VB	46	lacht, lache, lachen, lachst, gelacht
gnädiges	NN, JJ	46	gnädiges
Gewalt	NN	46	Gewalt
fallen	VB, VBN, RB	46	fallen, fiel
