Title: Damon, oder die wahre Freundschaft
Number of all lemmas: 2727
Nummber of different lemmas: 1253

Lemma	POS	Frequency	Tokens
entschloss	JJ	2	entschlossen
zürnen	VB	2	zürnen
manch	DT	2	mancher, manchem
weniger	RB	2	weniger
Ei	NN	2	Ei
Henker	NN	2	Henker
blind	JJ	2	blinden, blind
wagen	VB	2	wagt, gewagt
gedenken	VB	2	gedenken
Eur	JJ	2	Eure
Banqueroute	NN	2	Banqueroute
raten	VB	2	raten
nennen	VB	2	nennen, nennt
jen	DT	2	jener, jenen
Närrin	NN	2	Närrin
Ihrige	NN	2	Ihrige
bewussten	NN	2	bewußten
wenigstens	RB, RP	2	wenigstens
angetroffen	NN	2	angetroffen
tue	NN	2	tue
empfinde	NN	2	empfinde
fünf	CD	2	fünf
einbilden	NN	2	einbilden
alles	RB	2	alles
aufrichtige	NN, JJ	2	aufrichtige
Erklären	NN	2	Erklären
derohalben	NN	2	derohalben
desgleich	VB	2	desgleichen
Denkt	NN	2	Denkt
anzufangen	VB	2	anzufangen
überlassen	VB	2	überlassen
Mode	NN	2	Mode
verdienen	VB	2	verdient
Liebsten	NN	2	Liebsten
Weg	NN	2	Weg
Hören	NN	2	Hören
Mache	NN	2	Mache
ungegründeten	NN, NNP	2	ungegründeten
bekümmert	NN	2	bekümmert
vorstellen	VB, VBN	2	vorstellen, vorgestellt
begehen	VB, RP	2	begangen
weswegen	WRB	2	weswegen
Händen	NN	2	Händen
Sanftmut	NN	2	Sanftmut
leugnen	VB	2	leugnen
vergnügt	JJ	2	vergnügt
etwa	IN	2	etwa
Zweifel	NN	2	Zweifel
ersen	VB	2	erste, ersten
gefallen	VB, RP	2	gefallen
trauen	VB	2	trauen
bessern	VBN, RP	2	besser
Pöbel	NN	2	Pöbel
unsre	PRP$	2	unsre
schreiben	VBN	2	geschrieben
stumm	JJ	2	stumme
best	JJ	2	besten
seh	VB, PRP$	2	sehen, seh
niemanden	NN	2	niemanden
Reichtümer	NN	2	Reichtümer
Geschenk	NN	2	Geschenk
Tausch	NN	2	Tausch
bestürzt	NN	2	bestürzt
Schaden	NN	2	Schaden
Höre	NN	2	Höre
Wahrheit	NN	2	Wahrheit
Tage	NN	2	Tage
