Title: EntireCorpus-Tokens
Number of all tokens: 82976
Nummber of different tokens: 15342

Token	Frequency
geliebt	14
trifft	14
schwach	14
freuen	14
verstanden	14
hierher	14
entdeckt	14
fehlen	14
einbilden	14
sieben	14
machten	14
Halt	14
setzt	14
ach	14
Gedanke	14
Seid	14
Euern	14
gütig	14
Pflicht	14
seht	14
Soldaten	14
toll	14
Wünsche	14
Geschlecht	14
Ton	14
widerfahren	14
Offizier	14
Schwachheit	14
Erstaunen	14
müßt	14
lieset	14
ei	14
Vorwürfe	14
dünkt	14
Handel	14
niemanden	14
willen	14
Siehst	14
Gib	14
sprichst	14
verbinden	14
vertrauen	14
erkenne	14
Stolz	14
Nimm	14
Männer	14
fremden	14
viele	14
Lisidor	14
hinaus	14
Endlich	14
bedenken	14
fand	14
möchten	14
Papa	14
Itzt	14
Aussteuer	14
que	14
Hört	14
glückliche	14
Pistolen	14
beides	14
machst	14
bekannt	14
weise	14
verspricht	14
gelernt	14
mehrere	14
kenn	14
meinst	14
Warte	14
Laßt	14
Anselmus	14
gefaßt	14
hörst	14
eifersüchtig	14
begleiten	14
kleines	14
fangen	13
gerne	13
Verlangen	13
st	13
Torheit	13
Mitleiden	13
großmütig	13
Ringe	13
glücklicher	13
Schurke	13
suche	13
anzunehmen	13
größten	13
schlägt	13
unterdessen	13
Dukaten	13
bring	13
Raps	13
ik	13
albern	13
unglücklicher	13
mik	13
Verstellung	13
ungern	13
Ursachen	13
Wert	13
Büchern	13
hernach	13
schöner	13
minder	13
Arabellen	13
Schlingel	13
fühlen	13
acht	13
Seiten	13
gleichgültig	13
Hafi	13
Verstande	13
versprach	13
väterlichen	13
woran	13
entbehren	13
besorge	13
Erde	13
denkst	13
Mündel	13
empfangen	13
Besonders	13
la	13
meinige	13
scherzen	13
Stunden	13
Barnhelm	13
verschwiegen	13
plötzlich	13
nit	13
Stauffen	13
Parmenio	13
hundertmal	13
Schuldner	13
Gute	13
liebte	13
würdigen	13
Beleidigungen	13
stehe	13
küssen	13
Umsonst	13
Ruhe	13
schmeicheln	13
Fuße	13
Mißtrauen	13
beinahe	13
Wumshäter	13
Ohldin	13
Krieg	13
Jüngling	13
Guastalla	12
wenigsten	12
kömmst	12
verraten	12
leugnen	12
junge	12
schließen	12
Geier	12
zärtliche	12
einziger	12
Sagt	12
Verderben	12
sähe	12
Bescheidenheit	12
gestorben	12
konnten	12
Nebenbuhler	12
erzeigen	12
schickt	12
Gottes	12
lustig	12
schweig	12
Witwe	12
wofür	12
Schaden	12
Angelo	12
beleidigen	12
Wunsch	12
verächtlich	12
Zorn	12
Kaufmann	12
fürchten	12
Klagen	12
drum	12
drauf	12
kehren	12
tragen	12
raten	12
nahm	12
kurzen	12
Erlaubnis	12
gewinnen	12
schweigen	12
Fenster	12
Falle	12
gewußt	12
trennen	12
Fort	12
Summe	12
verbergen	12
ohnedem	12
Werk	12
wies	12
verstehn	12
rechnen	12
überlassen	12
Notwendigkeit	12
müßten	12
vermuten	12
Pferde	12
Schiff	12
Wahrlich	12
sorgen	12
steh	12
Christin	12
ungefähr	12
Freuden	12
Brust	12
Wenigstens	12
jetzo	12
Beweis	12
erwarte	12
Vous	12
fliehen	12
scheint	12
schlagen	12
Begriffe	12
Soldat	12
begegnet	12
möge	12
Gründe	12
beschlossen	12
Ort	12
Nase	12
Kaum	12
Verzweiflung	12
unterscheiden	12
Gleichwohl	12
Fuß	12
gelten	12
Peter	12
stecken	12
worüber	12
eitel	12
Höflichkeit	12
Ik	12
bereden	12
Freundes	12
Sorge	12
funfzig	12
betrogen	12
Kompliment	12
Vorsicht	12
Erbschaft	11
Kloster	11
Streiche	11
lächerlich	11
Lande	11
liebsten	11
gelehrte	11
gezwungen	11
breit	11
eilen	11
schlechten	11
ehrliche	11
klingt	11
edler	11
kleinste	11
Poete	11
Sprich	11
Begierde	11
Zug	11
brachte	11
schönen	11
Mode	11
genau	11
