Title: Nathan der Weise
Number of all lemmas: 10391
Nummber of different lemmas: 3174

Lemma	POS	Frequency	Tokens
Bettler	NN	10	Bettler, Bettlern
schlagen	VVINF, VVFIN	10	schlagen, schlägt, schlägst, schlagt, Schlug
geschwind	ADJD	10	geschwind, geschwinder, Geschwind
Dienst	NN	10	Dienst, Dienste, Diensten
fast	ADV	10	Fast, fast
voll	ADJA, ADJD	10	volle, vollem, Voll, voll, voller, vollen
warten	VVFIN, VVPP, VVINF	10	Warte, Wartet, gewartet, warten, warteten, wartet
Gefahr	NN	10	Gefahr
zurück	PTKVZ, ADV	10	zurück, Zurück
Glück	NN	10	Glück, Glücks
sicher	ADJD	9	sicher, Sicher
übel	ADJD	9	übel
weniger	ADV	9	weniger
Mantel	NN	9	Mantel, Mantels
Gang	NN	9	Ganges, Gang
Vernunft	NN	9	Vernunft
rufen	VVFIN, VVINF, VVIMP	9	rief, rufen, ruf, ruft
erzählen	VVFIN, VVINF, VVIMP	9	erzählen, erzählt, erzähl, erzähle
gehören	VVFIN	9	gehört, Gehört
stolz	ADJD, ADJA	9	Stolz, stolz, stolzen, stolze
hoffen	VVINF, VVPP, VVFIN, VVIMP	9	hoffen, gehofft, hoffte, hoff, hofft
Fall	NN	9	Fall
wert	ADJD	9	wert
Geduld	NN	9	Geduld
lehren	VVPP, VVFIN, VVINF	9	gelehrt, lehrt, Lehrt, Gelehrt, lehren
erfahren	VVFIN, VVPP, VVIMP, VVINF	9	erfuhr, erfahren, erfahr, erfährt
eilen	VVFIN, VVINF	9	eilt, eile, Eilt, eilen
edel	ADJA, ADJD	9	edle, Edler, edler, edel
seh	FM, NE	9	seh
weiß	ADJA, ADJD	9	weißen, Weißem, weiße, Weiß, weißem, weiß
Bild	NN	9	Bild, Bilder, Bilde
Euerm	NE, NN	9	Euerm
indes	ADV	9	indes, Indes
dünken	VVFIN, VVINF, VVPP	9	dünkt, dünken, Deucht
Jud	NE, NN	9	Jud
Kopf	NN	9	Kopf
wünschen	VVFIN, VVPP, VVIMP	9	Wünscht, wünschte, gewünscht, Wünsch, wünsche, wünscht
zwei	CARD	9	zwei
seit	KOUS, APPR	9	Seit, seit
treten	VVFIN, VVPP	9	trat, trete, treten, Tretet, getreten, Tritt, tritt
sterben	VVFIN, VVPP, VVINF	8	sterben, stirbt, starb, gestorben
Weise	NN	8	Weise, Weisen
frei	ADJD, ADJA, PTKVZ	8	frei, freien, freier, freiem
Curd	NE	8	Curd
tot	ADJD, ADJA	8	tot, toten
Gewalt	NN	8	Gewalt
Königin	NN	8	Königin, Königinnen
vielmehr	ADV	8	Vielmehr, vielmehr
brav	ADJD, ADJA	8	Brav, brav, braven, braver
Schuld	NN	8	Schulden, Schuld
Grab	NN	8	Grab, Gräber, Gräbern, Grabe
stecken	VVFIN, VVINF, VVPP	8	steckt, stecken, gesteckt, Gesteckt
Beste	NN	8	Besten, Beste, Bestes
schweigen	VVIMP, VVFIN	8	schweig, schweige, schweigt
schlimm	ADJA, ADJD	8	Schlimmer, schlimm, schlimmes, schlimmsten, schlimmster, schlimmer, Schlimm
ei	NE, FM	8	Ei
bitt	VVFIN	8	bitt
freuen	VVINF, VVFIN, VVPP, VVIMP	8	freuen, freut, freue, freuet, gefreut, freu
fallen|fällen	VVFIN	8	fällt, Fällt
Jahr	NN	8	Jahre, Jahren
Wolf	NE, NN	8	Wolfs, Wolf
Tod	NN	8	Tod, Tode, Todes
weißen	VVFIN	8	weißt
werfen	VVFIN, VVPP, VVINF	8	wirft, warf, geworfen, werfen
Stein	NN	8	Steinen, Steine, Stein, Steins
tausend	CARD	8	tausend
jen	PDAT, PDS	8	jene, jenem, jenen, jener
dank	APPR	8	Dank, dank
stehn	ADJD, VVFIN	8	stehn
reden	VVINF, VVFIN	8	reden, redet, rede
klug	ADJD	8	klug, klüger
Natur	NN	8	Natur
Feind	NN	8	Feind, Feinde
Stelle	NN	8	Stelle
Christenkind	NN	8	Christenkind, Christenkinder
Weib	NN	8	Weib, Weiber, Weibern
handeln	VVINF, VVFIN	8	handeln, handle, handelt
erkennen	VVFIN, VVINF, VVIMP	8	erkennt, erkennen, erkenn
Richter	NN	7	Richter, Richters
Seite	NN	7	Seite, Seiten
Jüdin	NN	7	Jüdin
Tugend	NN	7	Tugend
Ende	NN	7	Ende
lesen	VVFIN, VVINF, VVPP	7	lese, lesen, gelesen
halt	ADV	7	halt, Halt
vertrauen	VVINF, VVFIN, VVIMP	7	vertrauen, vertraue, Vertraut, vertrau
schnell	ADJD, ADJA	7	Schnell, schnell, schneller
Mund	NN	7	Mund, Munde
zugleich	ADV	7	zugleich, Zugleich
wozu	PWAV	7	Wozu, wozu
schicken	VVFIN, VVINF	7	Schickt, schicken, schicke, schickt
richtig	ADJD	7	richtig, Richtig
Wär	ADJD, NN, VVFIN	7	Wär
treffen	VVINF, VVFIN	7	treffen, traf, trefft, trifft
wagen	VVFIN, VVIMP, VVINF	7	wagte, wag, wagen, wage
Mutter	NN	7	Mutter
treiben	VVINF, VVFIN	7	treiben, treibt, Treibt
stürzen	VVFIN	7	stürzte, stürzt
gehören|hören	VVPP	7	gehört, Gehört
stellen	VVINF, VVFIN	7	stellen, stellt, Stellt
schaffen	VVIMP, VVINF, VVFIN	7	schaff, schaffen, schafft
Geheimnis	NN	7	Geheimnis
Stimme	NN	7	Stimme
Land	NN	7	Länder, Land, Landes, Lande
Feur	NN	7	Feur
umsonst	ADV	7	Umsonst, umsonst
entdecken	VVPP, VVFIN, VVINF	7	entdeckt, entdecke, Entdeckt, entdecken
Gelegenheit	NN	7	Gelegenheit
Blick	NN	7	Blick, Blicks
recht|rechts	ADJA	6	rechte
warm	ADJD, ADJA	6	warm, warmen, wärmster
laß	ADJD	6	laß
Nathans	NE, ADJA, NN	6	Nathans
plötzlich	ADJD	6	plötzlich, Plötzlich
unterscheiden	VVINF, VVFIN	6	unterscheiden, unterscheidet
Gedanke	NN	6	Gedanken, Gedanke
laufen	VVFIN, VVIMP	6	laufe, lauft, lauf
Fuß	NN	6	Füßen, Fuß
Kloster	NN	6	Kloster
wenig	ADV	6	wenig
Reichtum	NN	6	Reichtum, Reichtümer, Reichtums
Ists	NN, NE	6	Ists
gewinnen	VVFIN, VVINF, VVPP	6	gewinnt, gewinnen, gewann, gewonnen
gönnen	VVFIN, VVINF	6	gönnst, gönnen, gönnt
leer	ADJD, ADJA	6	leerer, leer, leeren
zeihen|ziehen	VVFIN	6	zieht, ziehst, Zieht
Wahn	NN	6	Wahn, Wahne
verschmähen	VVFIN, VVPP	6	verschmäht, Verschmäht
bestellen	VVPP, VVINF	6	bestellt, bestellen
Berg	NN	6	Berge, Berg
schaden	VVFIN, VVINF	6	schadet, schaden
Filneck	NN	6	Filneck
würdig	ADJD, ADJA	6	würdig, würdiger
drücken	VVINF, VVFIN, VVPP	6	drücken, drückte, gedrückt, drückt
schuldig	ADJD	6	schuldig
untern	APPRART	6	untern
schlecht	ADJD	6	schlecht, schlechter
gehn	VVINF, VVFIN, ADJD	6	gehn
helfen	VVFIN, VVINF, VVPP	6	hilft, helfen, geholfen
Schwert	NN	6	Schwerte, Schwert
