Title: Der Schatz
Number of all lemmas: 11596
Nummber of different lemmas: 2131

Lemma	POS	Frequency	Tokens
Nachricht	NN, NNS, JJ	8	Nachricht, Nachrichten
Zeit	NN, JJ	7	Zeit
zum	IN	7	zum
Hand	NN	7	Hand
Ihrem	NN	7	Ihrem
Unglück	NN	7	Unglück
wegen	IN, RP	7	wegen
Kinder	NN	7	Kinder
habe	RB, VB	7	habe
Jahren	NN	7	Jahren
wohnt	NN	7	wohnt
sonst	RB, IN	7	sonst
weil	IN, RB	7	weil
funfzig	RB, JJ	7	funfzig
letzt	JJ	7	letzter, letzten, letzte
bleiben	VB, PRP$	7	bleiben, bleibt
halten	VBN, VB, RB	7	gehalten, halten
stehen	VB	7	stehen, steht
leben	VB	7	leben
einig	DT, JJ	7	einige, einigen, einiges
Welt	NN	7	Welt
Barschaft	NN	6	Barschaft
neu	JJ	6	neuen, neue
muss	VB, JJ, RB	6	muß
vierzig	CD	6	vierzig
niemand	DT	6	niemand
Vorsprecher	NN	6	Vorsprecher
Streich	JJ, NN	6	Streiche, Streich
best	JJ	6	beste, besten
anders	RB, RP	6	anders
Ha	NN	6	Ha
vielleicht	IN, RP, RB	6	vielleicht
zählen	VBN, VB	6	gezählt, zählen, zählt
immer	RB, IN	6	immer
beid	DT, JJ	6	beides, beide
Kerl	NN	6	Kerl
Wer	WP	6	Wer
zwanzig	CD	6	zwanzig
dabei	RB	6	dabei
erfahren	VBN, VB, RP	6	erfahren, erfuhr
richtig	JJ	6	richtig
worden	VBN	6	worden
hast	NN	6	hast
alsdann	NNP	6	alsdann
fünf	CD	6	fünf
Komm	NN	6	Komm
selb	DT	6	selber
Auch	RB, IN, WRB	6	Auch
Jungfer	NN	6	Jungfer
Talern	NN	6	Talern
bist	NN	6	bist
An	IN	6	An
Augen	NN	6	Augen
gern	RB, RP, WRB	6	gern
Gut	NN, JJ	6	Gut, Guter
Mit	IN	6	Mit
Ernst	NNP, NN	6	Ernst
etwa	RB, IN	6	etwa
setzen	VB, VBN	6	setzen, gesetzt, setzte
bald	RB, JJ	6	bald
freilich	RB, RP, JJ	6	freilich
davon	RB	6	davon
neun	CD	5	neun
Hier	RB, RP	5	Hier
drei	CD	5	drei
Person	NN	5	Person
Frage	NN	5	Frage
Herz	NN, NNS	5	Herz, Herzen
Ware	NNS	5	Waren
leihen	VB	5	leihen
Schuld	NN	5	Schuld
Zweifel	NN	5	Zweifel
bis	IN	5	bis
Art	NN	5	Art
funfzehn	NN	5	funfzehn
Arm	NNS, NN	5	Arme, Arm
Degen	NN	5	Degen
Ihren	NN	5	Ihren
Wo	WRB	5	Wo
Vorwerk	NN	5	Vorwerk
sieben	CD	5	sieben
Kaufmann	NN, JJ	5	Kaufmann
kann	VB, JJ	5	kann
leihe	NN	5	leihe
liebster	NN, JJ	5	liebster
geschwind	RP, RB, WRB	5	geschwind
einzig	JJ, VB	5	einzige, einzigen, einzig, einziger
fragen	VB, VBN	5	fragen, fragt
Menschen	NN	5	Menschen
übel	JJ	5	übel
Auf	IN	5	Auf
sondern	CC	5	sondern
damien	IN, VB	5	damit
Oder	NN	5	Oder
fallen	VB	5	fallen, fiel
endlich	RB	5	endlich
Henker	NN	5	Henker
heuen	VB, VBN	5	heute
Nur	RB, IN	5	Nur
sechstausend	JJ	5	sechstausend
lass	JJ	5	lasse, laß
Nein	NN	5	Nein
sitzen	VB	5	sitzen, sitze
betrogen	NN	5	betrogen
Himmel	NN	5	Himmel
wohnen	VB, RB	5	wohnen
zehn	CD	5	zehn
damit	RB, IN	5	damit
seinem	PRP$	5	seinem
Stadt	NN	5	Stadt
Kopf	NNP, NN	5	Kopf
Kamilla	NN	5	Kamilla
seit	IN	5	seit
vortrefflich	JJ	5	vortrefflich, vortrefflichen
allein	RB, RP	5	allein
wahrhaftig	JJ	4	wahrhaftig
Zu	IN	4	Zu
Fisch	NNS	4	Fische
Pate	NN	4	Pate
