sentiWS	nrcPositive	nrcNegative	anger	anticipation	disgust	fear	joy	sadness	surprise	trust	emotion	arousel	cdPositive	cdNegative	cdNeutral	gpcPositive	gpcNegative	gpcNeutral
unlieb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
rechtsgültig	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
prallerer	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pralleres	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Navigator	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Auferweckung	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Nachbarschaft	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ekeligsten	-0.0048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ekeligstem	-0.0048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abgedroschneren	-0.1839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
verbindlich	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Niederlassungsfreiheit	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7	0.0	0.0	0	0	0
immobilere	-0.0048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ekeligstes	-0.0048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ekeligster	-0.0048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wille	0.004	0	0	0	0	0	0	0	0	0	0	1.7	3.25	0	0	0	1	0	0
Gesundheitsreform	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	0.0	0	0	0
unerwünschtester	-0.3413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
unerwünschtestes	-0.3413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
törichtstes	-0.471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fit	0.3686	0	0	0	0	0	0	0	0	0	0	0	0	0.7	0.0	0.0	0	0	0
verwertbar	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
gültigeres	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gültigerer	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gültigerem	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wertverlust	-0.0048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gültigeren	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Schlingern	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
galantest	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
unerwünschtesten	-0.3413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
einstürz	-0.0048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brillanz	0.004	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	0.0	1	0	0
antun	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.7	0.0	0	0	0
rutschig	0	0	0	0	0	0	0	0	0	0	0	-1.3	3.052631579	0	0	0	0	0	0
unzufriednere	-0.3363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zucken	0	0	1	0	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0
verrücktest	-0.0337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dreckigstem	-0.016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Freiheitseinzug	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	0.0	0	0	0
Hausarbeit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
verwendbareres	0.0859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rechtmäßigerem	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rechtmäßigeren	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rechtmäßigerer	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rechtmäßigeres	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Verletzer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Unterhaltung	0	1	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0
wahnsinnigerem	-0.0048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gammlig	-0.0048	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	0.0	0	0	0
rechthaberisch	-0.0048	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
gröbstem	-0.3495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abgrabung	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
gröbstes	-0.3495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sack	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ausbeute	-0.1894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Peinlichkeit	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
behumpsen	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.7	0.0	0	0	0
Spreu	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
dahinsiechen	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	0.0	0	0	0
bescheidner	0.0956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
überflüssig	-0.5154	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
famosest	0.2018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beklagenswerteste	-0.0048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Götterbild	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
geliebt	0.2315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Verkehrssicherheit	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7	0.0	0.0	0	0	0
Paraphilie	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
beißen	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0	0.7	0.0	0	1	0
geräumigste	0.1008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Freizügigkeit	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	0.0	1	0	0
Versklavungen	-0.0048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krampf	0	0	1	0	1	0	0	0	0	0	0	0	0	0.0	1.0	0.0	0	0	0
inkonsistentestes	-0.0048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
inkonsistentester	-0.0048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
apokalyptischst	-0.0048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
leuchtend	0.0821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Faselei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
inkonsistentestem	-0.0048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
inkonsistentesten	-0.0048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
endlich	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ortsveränderlich	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
fäkal	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
zwieträchtig	-0.0048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
außergerichtlich	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
eindrucksvollstes	0.3001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
anspornen	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	0.0	0	0	0
unbestreitbar	0.004	1	0	0	0	0	0	0	0	0	1	0	0	0.7	0.0	0.0	1	0	0
verweigern	0	0	1	1	0	0	0	0	0	0	0	-0.911764706	3.0	0.0	1.0	0.0	0	0	0
blutrünstig	0	0	1	1	0	1	1	0	0	0	0	0	0	0.0	1.0	0.0	0	1	0
Waffenreduktion	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7	0.0	0.0	0	0	0
eindrucksvollstem	0.3001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zerfahren	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hysterisch	-0.0465	0	1	1	0	0	1	0	0	0	0	0	0	0.0	1.0	0.0	0	1	0
nervigem	-0.0048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bezichtigung	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Kunstkritikerin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
sprengtest	-0.0048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vergnügen	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	0.0	1	0	0
Rückerstattung	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
getoppt	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leberentzündung	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	0.0	0	0	0
Prüfung	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
Uninteressiertheit	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	0.0	0	0	0
gleichgültigst	-0.3436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
einwerfen	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7	0.0	0.0	0	0	0
wohnlich	0.0885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
geduldig	0.3342	1	0	0	1	0	0	0	0	0	0	0	0	1.0	0.0	0.0	1	0	0
segeln	0	0	0	0	0	0	0	0	0	0	0	1.4	1.833333333	0	0	0	0	0	0
Mahlen	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hoffnungsloseste	-0.3412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
schmerzerfüllte	-0.0048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
grausigstem	-0.1777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
grausigstes	-0.1777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
grausigster	-0.1777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unheilbarkeit	-0.0048	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	0.0	0	0	0
Seil	0	0	0	0	0	0	0	0	0	0	0	0.18	2.18	0	0	0	0	0	0
erklärtester	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Erzeuger	0	0	0	0	0	0	0	0	0	0	0	0.8	3.052631579	0	0	0	0	0	0
gottgegeben	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
bedarfsgerechtere	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hochtrabendster	-0.3086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
singen	0	1	0	0	1	0	0	1	1	0	1	1.575757576	3.526315789	0	0	0	0	0	0
Kundenfreundlichkeit	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	0.0	0	0	0
bekümmerter	-0.4503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Schweinestall	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
unverantwortlichere	-0.4889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
verschwitzen	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	0.0	0	0	0
Markt	0	0	0	0	0	0	0	0	0	0	0	0.8	2.380952381	0	0	0	0	0	0
Überforderung	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	0.0	0	0	0
emulieren	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
versklavest	-0.3142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
brandneueren	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bekümmertem	-0.4503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gelingen	1.0	0	0	0	0	0	0	0	0	0	0	1.676470588	2.578947368	1.0	0.0	0.0	1	0	0
logischsten	0.0936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
logischstem	0.0936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gesundheitsschädlich	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Animus	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
breitfächern	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Geste	0	0	0	0	0	0	0	0	0	0	0	1.05	2.111111111	0	0	0	0	0	0
logischster	0.0936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kostenintensivste	-0.0048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beschneiden	-0.3293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Berufsbildung	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	0.0	0	0	0
Stimmigkeit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
lieblosesten	-0.4697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lenkwaffenzerstörer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
