WORD_LOWER	EMO_MEAN	AROUSAL_MEAN
aufhören	-0,558823529	2,142857143
aufleben	1,8	2,888888889
aufnahme	0,676470588	2,714285714
aufnehmen	1,029411765	2,368421053
aufpreis	-1,4	2,705882353
aufsatz	0,1	2,388888889
aufseher	-0,9	2,578947368
aufstand	-1,2	3,944444444
aufstieg	1,8	3,294117647
auftrag	0,7	2,821428571
auftreten	0,029411765	2,714285714
aufwind	1,3	2,611111111
aufzucht	0,3	2,611111111
auge	1,117647059	2,055555556
august	1,5	2,210526316
ausbaden	-1,3	2,421052632
ausbau	0,617647059	1,631578947
ausbildung	1,147058824	3,380952381
ausblick	1	2,222222222
ausbruch	-0,7	3,476190476
ausdauer	1,6	2,235294118
ausfall	-1,2	3,055555556
ausflug	1,5	2,6875
ausgabe	-0,264705882	2,333333333
ausgeben	-0,323529412	2,5
auskunft	0,5	2,117647059
auslösen	0,264705882	2,157894737
ausmaß	-0,411764706	2,5625
ausnahme	0,205882353	2,944444444
ausreden	0,3	2,263157895
aussage	0	2,222222222
aussetzen	-0,676470588	2,052631579
aussicht	1,470588235	2,222222222
ausstieg	-0,5	2,882352941
auswahl	0,705882353	2,238095238
auswirkung	-0,411764706	2,578947368
auswurf	-0,9	2,368421053
autark	0,6	3
autonom	0,8	2,947368421
autorität	-0,970588235	3,631578947
aversion	-1,7	3,833333333
baby	1,9	2,833333333
bach	1	1,777777778
bad	1,2	2,333333333
bagger	0,36	2,45
bahre	-1,6	2,789473684
bakterie	-1,7	3,5
balance	0,9	3
balken	0,3	2,111111111
balkon	1,35	2,055555556
ball	1,5	3,18
ballast	-1,1	2,944444444
ballon	1,35	2,277777778
balsam	1,3	1,315789474
baltikum	0	2,055555556
banane	1,32	1,95
bandit	-0,95	2,578947368
bank	-0,235294118	2,277777778
bankrott	-2,3	2,789473684
banner	0	2,8125
bar	0,823529412	3,157894737
barbar	-1,05	3,75
bargeld	1,8	2,941176471
barriere	-1,3	3,333333333
barsch	-1,3	2,947368421
basis	0,35	1,722222222
bastard	-1,5	3,833333333
batterie	-0,14	1,91
bauen	0,911764706	2,333333333
bauer	0,15	1,833333333
baum	1,5	1,5
bazille	-1,7	3,5
beachten	0,7	2,894736842
beamte	-1,411764706	2,333333333
beantragen	-0,852941176	2,666666667
beben	-1,2	4
becher	0,55	1,714285714
bedarf	-0,264705882	2,352941176
bedauern	-1	2,526315789
bedenken	0,176470588	2,722222222
bedeuten	1,029411765	2,631578947
bedeutung	0,941176471	2,857142857
bedienen	-0,5	2,214285714
bedingung	-0,911764706	2,578947368
bedrohen	-2,029411765	4
bedürfen	-0,294117647	2,315789474
