WORD_LOWER	EMO_MEAN	AROUSAL_MEAN	WORD_CLASS
freuen	2,205882353	3,107142857	V
freund	2,558823529	2,052631579	N
frevel	-1,7	3,444444444	N
friede	2,4	1,4	N
frieden	2,529411765	1,611111111	N
friedhof	-1,6	3,166666667	N
frist	-1,2	3,19047619	N
frisur	0,75	2,714285714	N
froh	1,8	2,277777778	A
fromm	0,4	2,3	A
front	-1,647058824	3,5	N
frosch	-0,09	2,82	N
frühjahr	2,029411765	2,444444444	N
fuchs	-0,18	3,5	N
fühlen	2	3,473684211	V
führer	-2,176470588	3,888888889	N
führung	-0,470588235	2,444444444	N
füllen	0,529411765	2,107142857	V
füller	0,73	2,32	N
fund	1	2,666666667	N
funke	0,65	3,105263158	N
funktionär	-1,411764706	2,210526316	N
furcht	-2,2	4,421052632	N
fürchten	-1,647058824	3,857142857	V
fusion	0,8	2,571428571	N
futter	0,85	2,368421053	N
gabel	0,3	2,111111111	N
galgen	-2,2	4,117647059	N
galle	-1,6	2,823529412	N
ganove	-1,4	3,65	N
gans	0,19	2,86	N
garaus	-1,75	3,333333333	N
garten	1,8	1,611111111	N
gas	-1,470588235	3,380952381	N
gast	1,411764706	2,277777778	N
gatte	0,7	3,047619048	N
gauner	-1,35	3,6	N
gebein	-1,15	2,722222222	N
gebet	0,75	2,714285714	N
gebiet	0,1	2,315789474	N
gebot	0,2	2,777777778	N
geburt	1,9	4,176470588	N
geburtstag	1,911764706	3,142857143	N
gedanke	1,5	2,611111111	N
gedenken	0,588235294	2,736842105	V
gedicht	0,7	2,947368421	N
geduld	2	1,823529412	N
gefahr	-1,8	4,380952381	N
gefährden	-1,647058824	3,9	V
