Title: Die Juden
Number of all lemmas: 9755
Nummber of different lemmas: 1526

Lemma	POS	Frequency	Tokens
Ha	NE	7	Ha
deswegen	PAV	7	deswegen
Verdacht	NN	7	Verdacht, Verdachte
Stand	NN	7	Stande, Stand
unsre	PPOSAT	7	unsern, unsre
Jahr	NN	7	Jahr, Jahre
gering	ADJA, ADJD	7	geringes, geringste, geringen, geringsten, geringer
meinen	VVFIN, VVPP	7	meine, meinen, gemeint
alt	ADJD	7	älter, alt
irren	VVFIN, VVPP, VVINF	7	irrte, irren, geirrt
Umstand	NN	7	Umstände, Umständen
klug	ADJD, ADJA	7	klüger, klug, kluges
Gott	NN	7	Gott
weit	ADJD	7	weitesten, weit
lang	ADJD	7	länger, lang
befehlen	VVPP, VVINF, VVFIN	7	befohlen, befehlen
ichs	ADJD	7	ichs
Christ	NN, NE	7	Christen, Christ
entdecken	VVFIN, VVINF, VVPP	7	entdecken, entdeckt, entdecke
Mensch	NN	7	Menschen, Mensch
schämen	VVFIN, VVINF, VVPP	6	schäme, schämen, geschämt
dürfen	VMFIN	6	dürfte, darf, dürfen, dürften
nu	ITJ	6	nu, Nu
Vermögen	NN	6	Vermögen
lange	ADV	6	lange
gestern	ADV	6	gestern, Gestern
verdienen	VVINF, VVFIN	6	verdienen, verdiene, verdiente
verzeihen	VVFIN	6	Verzeihen, verzeihen, Verzeiht
kennen	VVINF, VVFIN, VVPP	6	kennen, kenne, gekannt
Mamsell	NN, NE	6	Mamsell
Fräulein	NN	6	Fräulein
Teufel	NN	6	Teufel
zufrieden	ADJD	6	zufrieden
fallen	VVFIN, VVINF	6	falle, fallen
meinig	PPOSS	6	meinige, meinigen
dumm	ADJA, ADJD	6	dummer, dumm
sitzen	VVINF, VVFIN	6	sitzen, sitze
nah	ADJA, ADJD	6	nahen, näher, nahes
böse	ADJD, ADJA	6	böse
suchen	VVFIN, VVINF	6	suche, suchen, sucht
Liebe	NN	6	Liebe
Wohltat	NN	6	Wohltaten, Wohltat
annehmen	VVPP, VVIZU, VVINF	5	angenommen, anzunehmen, annehmen
gottlos	ADJA	5	gottlosen, gottlose, gottloses, gottloser
sicher	ADJD, ADJA	5	sichrer, sichersten, sicher, sichere
wann	PWAV	5	wann
Frage	NN	5	Frage
laufen	VVFIN, VVPP	5	liefen, läuft, gelaufen, laufe, laufen
gestehn	VVINF, VVFIN, ADJD	5	gestehn
schenken	VVPP, VVINF	5	geschenkt, schenken
klein	ADJA, ADJD	5	kleine, klein, kleinen
gehn	VVINF, ADJD, VVFIN	5	gehn
ertappen	VVPP, VVFIN	5	ertappt, ertappte
wenig	ADV	5	wenig
verschweigen	VVPP, VVINF	5	verschwiegen, verschweigen
Volk	NN	5	Volk, Völker, Volke
übereilen	VVPP, VVINF	5	übereilt, übereilen
verstehen	VVPP, VVFIN	5	verstanden, versteht, verstehe
hurtig	ADJD	5	Hurtig, hurtig, hurtiger
befinden	VVPP, VVINF, VVFIN	5	befunden, befinden, befindet, befinde
wert	ADJD	5	wert
Name	NN	5	Namen
kurz	ADJA, ADJD	5	kurzem, kurzen, kurzer, Kurz
lernen	VVINF, VVPP, VVFIN	5	lernen, gelernt, lerne
Weg	NN	5	Wege, Weg
Grobheit	NN	5	Grobheit
Nu	NN	5	Nu
