Title: Die Juden
Number of all tokens: 3747
Nummber of different tokens: 1862

Token	Frequency
beschweren	1
dürfen	1
tiefsinnigen	1
ihres	1
unbequemsten	1
gefällig	1
Nimmermehr	1
lasse	1
gesprächigen	1
hab	1
Schicksale	1
Unachtsamkeit	1
besehn	1
offnen	1
Tugend	1
besehe	1
Anfange	1
durstet	1
unleidlich	1
anwendete	1
verließen	1
Orte	1
Stolz	1
verschaffte	1
betriegt	1
gönnen	1
Verweise	1
wirkliche	1
Arm	1
darzu	1
bereit	1
Wechsel	1
gesattelt	1
wirft	1
ums	1
Abendmahlzeit	1
gegriffen	1
sinnreich	1
Quark	1
stiften	1
bloße	1
binden	1
Argwohn	1
Affen	1
Bräutigam	1
Religionspunkt	1
bestärkt	1
Liebesverständnisse	1
saurer	1
Lichte	1
gutherziger	1
anbieten	1
Völker	1
lieben	1
Rocktasche	1
unternehmend	1
jene	1
Trauerspielen	1
Pöbels	1
untern	1
französische	1
Ende	1
gib	1
Verbindlichkeit	1
plaudern	1
Unschuld	1
zeigt	1
schweigen	1
braver	1
aufnehmen	1
verdammte	1
übereilen	1
Loch	1
bedienen	1
Abschiedsformeln	1
Befehlen	1
aufgingen	1
Vogte	1
Stücken	1
leer	1
Freundin	1
Ausschweifungen	1
erfolgt	1
Unbekannten	1
Hund	1
Träumenden	1
Gütern	1
geschehn	1
verdächtig	1
entgehn	1
Nehmen	1
Glauben	1
gehorchen	1
bezeugte	1
greulich	1
mache	1
hurtiger	1
weils	1
Tagen	1
Querstrich	1
Umwenden	1
zerronnen	1
verliert	1
Wörter	1
weitrer	1
Ehrlichkeit	1
Großvater	1
Bibel	1
aufsetzen	1
Dinger	1
zärtliche	1
gelinder	1
beurlauben	1
Bemühe	1
gescheuter	1
Rache	1
Verschwiegenheit	1
Gute	1
gehangen	1
Franzose	1
einzigen	1
hochadelichen	1
Klage	1
Absicht	1
Lachen	1
Pest	1
Straßen	1
allzusicher	1
Ihres	1
ausstechen	1
Verlangen	1
steckte	1
Mundsemmel	1
vorgekommen	1
Zwei	1
ehrliches	1
bestimmt	1
lesen	1
Sehen	1
übergebe	1
bleibe	1
schaden	1
ungekannt	1
antrifft	1
Dieb	1
vous	1
Amts	1
neugierig	1
unsere	1
Haufen	1
ungeehrt	1
zweifle	1
verfolgt	1
gebeten	1
redten	1
unmöglich	1
Setzen	1
Brandwein	1
geworfen	1
Narre	1
Essenszeit	1
Termin	1
schrecken	1
größte	1
Reisebibliothek	1
befunden	1
machten	1
verdienstliches	1
erhält	1
ausplaudern	1
zärtlichen	1
behende	1
verborgen	1
Vormittag	1
Verzeiht	1
st	1
Wohltäter	1
ärgert	1
geredt	1
gelegen	1
Wetter	1
doppeltes	1
meiste	1
Lacht	1
Beiwort	1
wiedergeben	1
Handgemenge	1
Flegel	1
erweiset	1
ersuche	1
erweisen	1
Schlimmes	1
erlernen	1
antreiben	1
Kette	1
verkleidet	1
Verbinde	1
Lieber	1
